isoA3,co2_per_capita,pm25,renewables_elec_pct,protected_land_pct,safe_water_pct,life_expectancy_yrs,hdi,score
ABW,8.033,,14.7971787957078,9.9,,76.353,,0.5415043993074418
AFE,,,33.1257986311152,16.1592298096999,,65.146290855385,,0.3099294628232482
AFG,0.266,62.48616,78.2344746063241,3.6,30.0340981310563,66.035,0.496,0.49361421189582805
AFW,,,30.4191556277748,14.06182638975965,29.5172067235587,58.8557215483276,,0.22979792007800384
AGO,0.565,27.16477,91.7136027244744,9.25,,64.617,0.616,0.7063551680531541
AIA,10.012,,,,,,,0.7428048749065986
ALB,1.83,16.27997,96.1490163248221,20.8,70.7360679461577,79.602,0.81,0.8211827068386152
AND,5.242,8.52423,93.3403907227408,27.3,90.640001490064,84.041,0.913,0.875149939319376
ARB,,,4.81308788145556,5.874356143776265,,72.4446783578531,,0.23458722580653676
ARE,21.554,41.7495,4.20134583903604,17.65,,82.909,0.94,0.4238322754562372
ARG,4.3,12.04087,25.5361113468556,9.25,,77.395,0.865,0.6936147574241226
ARM,2.585,34.12674,30.0380758979566,38.9,82.4117239415569,77.4658536585366,0.811,0.6638941459809058
ASM,,,3.8725406815218,12.55,89.8545469094066,72.852,,0.4170775643296203
ATG,6.909,8.29693,5.65579264886605,8.65,,77.598,0.851,0.6512397680604225
AUS,14.478,8.93323,26.6608674695166,27.75,,83.0512195121951,0.958,0.6726892074868663
AUT,6.416,11.50796,79.9114280061055,29.6,98.8963233865813,81.5414634146342,0.93,0.8380997458771162
AZE,4.258,24.64286,5.79875927851687,17.05,71.6117027151749,74.429,0.789,0.6052547274257298
BDI,0.052,27.99587,61.3041849395068,7.6,,63.651,0.439,0.6324224679106247
BEL,7.118,11.25612,23.5469068829941,17.4,99.739449377802,82.3975609756098,0.951,0.7403209872933797
BEN,0.396,31.51453,0.257548845470693,26.6,,60.774,0.515,0.5135837697558971
BES,3.84,,,,,,,0.9018319548581589
BFA,0.269,40.74491,13.982068141064,16.5,,61.092,0.459,0.4887240561899214
BGD,0.662,45.98906,1.50205511687497,4.9,59.1092953183807,74.672,0.685,0.5132010835889976
BGR,5.311,17.29031,22.1918096199125,39.95,95.6543313759674,75.7073170731707,0.845,0.7080197423638462
BHR,23.27,51.81722,0.0378091872791519,16.15,98.9039755631804,81.284,0.899,0.4248600841089528
BHS,6.272,5.19903,0.480875807854305,21.450000000000003,,74.552,0.82,0.6557551274004689
BIH,6.336,26.19402,39.3396633577902,9.5,86.9706794612828,77.85,0.804,0.665960418666804
BLR,6.197,15.48201,3.1465360459759,9.4,93.0997559157322,74.1837804878049,0.824,0.6444221861291607
BLZ,1.625,10.50946,92.8601757887138,32.05,,73.566,0.721,0.8364381723253559
BMU,8.074,,,1.15,,82.309,,0.7120775431341949
BOL,1.908,25.23416,38.2551705119956,30.9,,68.581,0.733,0.6509591881765768
BRA,2.304,10.94008,77.3753492178891,30.0,87.2587154718951,75.848,0.786,0.8199813742441984
BRB,4.221,9.78987,7.32507956609401,0.6000000000000001,,76.178,0.811,0.6538871126909543
BRN,25.644,6.86475,0.0196525706264257,23.7,,75.327,0.837,0.49559223286574994
BTN,2.178,26.09506,100.0,51.6,73.3419919439661,72.975,0.698,0.782143146100347
BWA,2.707,12.8184,0.254047322540473,29.1,,69.163,0.731,0.6288216122836295
CAF,0.055,27.19802,96.473071423708,14.8,6.12644463898753,57.408,0.414,0.5960058932755864
CAN,13.977,6.38944,67.2868623475815,12.25,99.0397292852425,81.6465853658537,0.939,0.7705782427070035
CEB,,,24.8023669805393,29.76513323376535,91.35177471804,77.8967836493153,,0.5635243036729458
CHE,3.691,8.96682,68.0622643509335,12.5,96.7000018583182,84.0560975609756,0.97,0.8447784610415683
CHI,,,,,,81.1,,0.834785333751175
CHL,3.931,20.48648,48.0821990956395,29.75,98.7713643041914,81.167,0.878,0.7665359787819052
CHN,8.367,38.153,28.427997926748,15.15,,77.953,0.797,0.5568087518054543
