isoA3,year,co2_per_capita
AFG,1949,0.002
AFG,1950,0.011
AFG,1951,0.012
AFG,1952,0.011
AFG,1953,0.013
AFG,1954,0.013
AFG,1955,0.018
AFG,1956,0.022
AFG,1957,0.034
AFG,1958,0.038
AFG,1959,0.043
AFG,1960,0.046
AFG,1961,0.053
AFG,1962,0.073
AFG,1963,0.074
AFG,1964,0.085
AFG,1965,0.1
AFG,1966,0.106
AFG,1967,0.122
AFG,1968,0.114
AFG,1969,0.085
AFG,1970,0.148
AFG,1971,0.164
AFG,1972,0.129
AFG,1973,0.135
AFG,1974,0.153
AFG,1975,0.166
AFG,1976,0.152
AFG,1977,0.179
AFG,1978,0.158
AFG,1979,0.164
AFG,1980,0.133
AFG,1981,0.166
AFG,1982,0.191
AFG,1983,0.231
AFG,1984,0.252
AFG,1985,0.306
AFG,1986,0.274
AFG,1987,0.273
AFG,1988,0.248
AFG,1989,0.233
AFG,1990,0.168
AFG,1991,0.156
AFG,1992,0.112
AFG,1993,0.1
AFG,1994,0.089
AFG,1995,0.083
AFG,1996,0.077
AFG,1997,0.071
AFG,1998,0.067
AFG,1999,0.055
AFG,2000,0.052
AFG,2001,0.053
AFG,2002,0.063
AFG,2003,0.069
AFG,2004,0.053
AFG,2005,0.077
AFG,2006,0.085
AFG,2007,0.108
AFG,2008,0.161
AFG,2009,0.233
AFG,2010,0.296
AFG,2011,0.403
AFG,2012,0.328
AFG,2013,0.292
AFG,2014,0.277
AFG,2015,0.286
AFG,2016,0.257
AFG,2017,0.271
AFG,2018,0.289
AFG,2019,0.286
AFG,2020,0.297
AFG,2021,0.257
AFG,2022,0.26
AFG,2023,0.266
,1884,0.0
,1885,0.0
,1886,0.0
,1887,0.0
,1888,0.001
,1889,0.001
,1890,0.002
,1891,0.002
,1892,0.004
,1893,0.013
,1894,0.018
,1895,0.024
,1896,0.031
,1897,0.035
,1898,0.044
,1899,0.04
,1900,0.017
,1901,0.028
,1902,0.042
,1903,0.056
,1904,0.063
,1905,0.073
,1906,0.083
,1907,0.091
,1908,0.094
,1909,0.107
,1910,0.121
,1911,0.117
,1912,0.124
,1913,0.135
,1914,0.134
,1915,0.133
,1916,0.158
,1917,0.171
,1918,0.166
,1919,0.17
,1920,0.186
,1921,0.184
,1922,0.156
,1923,0.187
,1924,0.194
,1925,0.202
,1926,0.213
,1927,0.207
,1928,0.21
,1929,0.214
,1930,0.199
,1931,0.171
,1932,0.153
,1933,0.162
,1934,0.182
,1935,0.199
,1936,0.213
,1937,0.226
,1938,0.234
,1939,0.246
,1940,0.257
,1941,0.276
,1942,0.296
,1943,0.297
,1944,0.324
,1945,0.323
,1946,0.321
,1947,0.315
,1948,0.327
,1949,0.347
,1950,0.417
,1951,0.435
,1952,0.465
,1953,0.462
,1954,0.475
,1955,0.511
,1956,0.522
,1957,0.535
,1958,0.549
,1959,0.534
,1960,0.552
,1961,0.558
,1962,0.559
,1963,0.578
,1964,0.619
,1965,0.667
,1966,0.673
,1967,0.703
,1968,0.743
,1969,0.781
,1970,0.829
,1971,0.885
,1972,0.914
,1973,0.956
,1974,0.956
,1975,0.926
,1976,0.977
,1977,0.979
,1978,1.016
,1979,1.065
,1980,1.111
,1981,1.105
,1982,1.117
,1983,1.128
,1984,1.197
,1985,1.192
,1986,1.2
,1987,1.167
,1988,1.192
,1989,1.117
,1990,1.024
,1991,1.042
,1992,0.984
,1993,1.016
,1994,1.108
,1995,1.154
,1996,1.162
,1997,1.162
,1998,1.157
,1999,1.112
,2000,1.122
,2001,1.082
,2002,1.032
,2003,1.106
,2004,1.14
,2005,1.126
,2006,1.13
,2007,1.127
,2008,1.156
,2009,1.12
,2010,1.136
,2011,1.145
,2012,1.126
,2013,1.108
,2014,1.143
,2015,1.094
,2016,1.1
,2017,1.087
,2018,1.055
,2019,1.099
,2020,0.983
,2021,1.021
,2022,0.991
,2023,0.959
ALB,1933,0.007
ALB,1934,0.007
ALB,1935,0.018
ALB,1936,0.121
ALB,1937,0.278
ALB,1938,0.323
ALB,1939,0.397
ALB,1940,0.629
ALB,1941,0.563
ALB,1942,0.66
ALB,1943,0.405
ALB,1944,0.133
ALB,1945,0.104
ALB,1946,0.409
ALB,1947,0.775
ALB,1948,0.581
ALB,1949,0.825
ALB,1950,0.238
ALB,1951,0.316
ALB,1952,0.286
ALB,1953,0.308
ALB,1954,0.363
ALB,1955,0.467
ALB,1956,0.576
ALB,1957,1.005
ALB,1958,0.778
ALB,1959,0.905
ALB,1960,1.226
ALB,1961,1.341
ALB,1962,1.412
ALB,1963,1.162
ALB,1964,1.094
ALB,1965,1.147
ALB,1966,1.307
ALB,1967,1.333
ALB,1968,1.484
ALB,1969,1.524
ALB,1970,1.714
ALB,1971,1.945
ALB,1972,2.463
ALB,1973,2.255
ALB,1974,1.809
ALB,1975,1.87
ALB,1976,1.971
ALB,1977,2.228
ALB,1978,2.473
ALB,1979,2.828
ALB,1980,1.89
ALB,1981,2.63
ALB,1982,2.567
ALB,1983,2.627
ALB,1984,2.639
ALB,1985,2.604
ALB,1986,2.61
ALB,1987,2.365
ALB,1988,2.281
ALB,1989,2.756
ALB,1990,1.684
ALB,1991,1.307
ALB,1992,0.767
ALB,1993,0.713
ALB,1994,0.588
ALB,1995,0.641
ALB,1996,0.622
ALB,1997,0.478
ALB,1998,0.547
ALB,1999,0.937
ALB,2000,0.955
ALB,2001,1.023
ALB,2002,1.196
ALB,2003,1.38
ALB,2004,1.348
ALB,2005,1.385
ALB,2006,1.282
ALB,2007,1.306
ALB,2008,1.469
ALB,2009,1.488
ALB,2010,1.633
ALB,2011,1.825
ALB,2012,1.667
ALB,2013,1.819
ALB,2014,2.066
ALB,2015,1.626
ALB,2016,1.598
ALB,2017,1.826
ALB,2018,1.691
ALB,2019,1.673
ALB,2020,1.64
ALB,2021,1.802
ALB,2022,1.83
ALB,2023,1.83
DZA,1916,0.001
DZA,1917,0.001
DZA,1918,0.003
DZA,1919,0.003
DZA,1920,0.004
DZA,1921,0.004
DZA,1922,0.004
DZA,1923,0.002
DZA,1924,0.005
DZA,1925,0.005
DZA,1926,0.006
DZA,1927,0.009
DZA,1928,0.011
DZA,1929,0.012
DZA,1930,0.013
DZA,1931,0.015
DZA,1932,0.017
DZA,1933,0.018
DZA,1934,0.02
DZA,1935,0.019
DZA,1936,0.007
DZA,1937,0.009
DZA,1938,0.004
DZA,1939,0.021
DZA,1940,0.031
DZA,1941,0.04
DZA,1942,0.062
DZA,1943,0.058
DZA,1944,0.061
DZA,1945,0.074
DZA,1946,0.09
DZA,1947,0.086
DZA,1948,0.092
DZA,1949,0.102
DZA,1950,0.42
DZA,1951,0.446
DZA,1952,0.408
DZA,1953,0.409
DZA,1954,0.415
DZA,1955,0.45
DZA,1956,0.477
DZA,1957,0.517
DZA,1958,0.476
DZA,1959,0.506
DZA,1960,0.538
DZA,1961,0.521
DZA,1962,0.48
DZA,1963,0.452
DZA,1964,0.463
DZA,1965,0.533
DZA,1966,0.669
DZA,1967,0.655
DZA,1968,0.687
DZA,1969,0.836
DZA,1970,1.093
DZA,1971,1.323
DZA,1972,1.963
DZA,1973,2.591
DZA,1974,2.106
DZA,1975,2.041
DZA,1976,2.385
DZA,1977,2.459
DZA,1978,3.567
DZA,1979,2.525
DZA,1980,3.569
DZA,1981,2.411
DZA,1982,1.971
DZA,1983,2.554
DZA,1984,3.335
DZA,1985,3.299
DZA,1986,3.345
DZA,1987,3.578
DZA,1988,3.472
DZA,1989,3.224
DZA,1990,3.024
DZA,1991,3.032
DZA,1992,3.0
DZA,1993,3.004
DZA,1994,3.177
DZA,1995,3.399
DZA,1996,3.446
DZA,1997,2.988
DZA,1998,3.545
DZA,1999,3.001
DZA,2000,2.763
DZA,2001,2.772
DZA,2002,2.856
DZA,2003,2.939
DZA,2004,2.811
DZA,2005,3.352
DZA,2006,3.149
DZA,2007,3.214
DZA,2008,3.191
DZA,2009,3.349
DZA,2010,3.27
DZA,2011,3.39
DZA,2012,3.604
DZA,2013,3.665
DZA,2014,3.859
DZA,2015,4.0
DZA,2016,3.88
DZA,2017,3.962
DZA,2018,4.063
DZA,2019,4.155
