Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Afghanistan,AFG,..,..,0.4,0.1,0.1,0.1,0.1,3.6,3.6,3.6,3.6,3.6
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Albania,ALB,..,..,2.2,13.1,13.5,13.5,14.2,14.2,14.2,14.2,14.2,18
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Algeria,DZA,..,..,7.1,7.1,7.1,7.1,7.1,4.4,4.4,4.4,4.4,4.4
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,American Samoa,ASM,..,..,8.7,8.7,8.7,8.7,8.7,0,8.7,8.7,8.7,8.7
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Andorra,AND,..,..,21.1,21.1,26.7,26.7,26.7,26.7,26.9,26.9,26.9,27.3
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Angola,AGO,..,..,5,5,5,5,5,5,5,5,7.7,7.7
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Antigua and Barbuda,ATG,..,..,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.8
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Argentina,ARG,..,..,7.4,7.5,7.5,7.2,9.4,9.4,9.4,9.6,9.6,9.7
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Armenia,ARM,..,..,23.1,23.1,23.1,23.1,24.3,24.3,24.3,24.7,24.7,38.9
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Aruba,ABW,..,..,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Australia,AUS,..,..,28.7,28.6,29.7,29.7,29.9,30.4,32.1,32.1,32.1,33.5
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Austria,AUT,..,..,28.4,27.6,28.4,28.4,28.4,29.1,29.3,29.5,29.5,29.6
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Azerbaijan,AZE,..,..,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,12
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,"Bahamas, The",BHS,..,..,1.2,1.2,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.3
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Bahrain,BHR,..,..,1.7,1.7,1.7,1.7,1.7,1.7,1.7,20.5,20.5,20.6
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Bangladesh,BGD,..,..,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.9,5.6
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Barbados,BRB,..,..,0,0,0,0,0,0,0,0,0,0.1
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Belarus,BLR,..,..,8.8,9.5,9.4,9.4,9.4,9.4,13.8,13.8,13.8,9.4
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Belgium,BEL,..,..,24.2,24.6,24.7,24.6,26.1,17.6,17.8,17.8,17.8,18.5
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Belize,BLZ,..,..,20.5,20.6,20.6,20.6,20.6,21.1,21.1,21.1,21.1,26.8
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Benin,BEN,..,..,22.9,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Bermuda,BMU,..,..,0,0,0,0,0,0,0,0,0,0
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Bhutan,BTN,..,..,48,48,48,48,48,49.7,49.7,49.7,49.7,51.6
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Bolivia,BOL,..,..,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Bosnia and Herzegovina,BIH,..,..,1.5,1.4,1.4,1.4,1.4,3.6,4,4.1,4.1,9.5
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Botswana,BWA,..,..,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Brazil,BRA,..,..,20.4,20.7,20.7,28.6,29.2,29.2,29.3,29.3,29.5,29.4
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,British Virgin Islands,VGB,..,..,0.1,0.1,0,0,0,0,0,0,0,0
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Brunei Darussalam,BRN,..,..,9,9,9,9,9,9,9,9,9,7.5
